Date: 10/11/2024 10:49:12 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:12 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:12 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:12 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:13 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:13 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:13 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:13 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:13 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:13 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:13 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:13 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:13 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:14 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:14 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:14 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:14 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:14 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:14 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:14 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:14 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:14 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:14 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:15 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:15 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:15 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:15 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:15 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:15 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:15 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:15 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:15 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:16 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:16 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:16 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:16 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:16 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:16 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:16 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:16 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:16 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:17 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:17 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:17 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:17 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:17 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:17 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:17 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:17 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:17 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:18 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:18 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:18 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:18 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:18 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:18 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:18 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:18 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:18 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:19 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:19 AM, Core: 2, Hello from process 10
Date: 10/11/2024 10:49:19 AM, Core: 2, Hello from process 10
