10/11/2024 02:04:22 PM, Core: 1, Hello from process 9
10/11/2024 02:04:22 PM, Core: 1, Hello from process 9
10/11/2024 02:04:22 PM, Core: 1, Hello from process 9
10/11/2024 02:04:22 PM, Core: 1, Hello from process 9
10/11/2024 02:04:22 PM, Core: 1, Hello from process 9
10/11/2024 02:04:22 PM, Core: 1, Hello from process 9
10/11/2024 02:04:23 PM, Core: 1, Hello from process 9
10/11/2024 02:04:23 PM, Core: 1, Hello from process 9
10/11/2024 02:04:23 PM, Core: 1, Hello from process 9
10/11/2024 02:04:23 PM, Core: 1, Hello from process 9
10/11/2024 02:04:23 PM, Core: 1, Hello from process 9
10/11/2024 02:04:23 PM, Core: 1, Hello from process 9
10/11/2024 02:04:23 PM, Core: 1, Hello from process 9
10/11/2024 02:04:23 PM, Core: 1, Hello from process 9
10/11/2024 02:04:23 PM, Core: 1, Hello from process 9
10/11/2024 02:04:23 PM, Core: 1, Hello from process 9
10/11/2024 02:04:24 PM, Core: 1, Hello from process 9
10/11/2024 02:04:24 PM, Core: 1, Hello from process 9
10/11/2024 02:04:24 PM, Core: 1, Hello from process 9
10/11/2024 02:04:24 PM, Core: 1, Hello from process 9
10/11/2024 02:04:24 PM, Core: 1, Hello from process 9
10/11/2024 02:04:24 PM, Core: 1, Hello from process 9
10/11/2024 02:04:24 PM, Core: 1, Hello from process 9
10/11/2024 02:04:24 PM, Core: 1, Hello from process 9
10/11/2024 02:04:24 PM, Core: 1, Hello from process 9
10/11/2024 02:04:25 PM, Core: 1, Hello from process 9
10/11/2024 02:04:25 PM, Core: 1, Hello from process 9
10/11/2024 02:04:25 PM, Core: 1, Hello from process 9
10/11/2024 02:04:25 PM, Core: 1, Hello from process 9
10/11/2024 02:04:25 PM, Core: 1, Hello from process 9
10/11/2024 02:04:25 PM, Core: 1, Hello from process 9
10/11/2024 02:04:25 PM, Core: 1, Hello from process 9
10/11/2024 02:04:25 PM, Core: 1, Hello from process 9
10/11/2024 02:04:25 PM, Core: 1, Hello from process 9
10/11/2024 02:04:26 PM, Core: 1, Hello from process 9
10/11/2024 02:04:26 PM, Core: 1, Hello from process 9
10/11/2024 02:04:26 PM, Core: 1, Hello from process 9
10/11/2024 02:04:26 PM, Core: 1, Hello from process 9
10/11/2024 02:04:26 PM, Core: 1, Hello from process 9
10/11/2024 02:04:26 PM, Core: 1, Hello from process 9
10/11/2024 02:04:26 PM, Core: 1, Hello from process 9
10/11/2024 02:04:26 PM, Core: 1, Hello from process 9
10/11/2024 02:04:26 PM, Core: 1, Hello from process 9
10/11/2024 02:04:27 PM, Core: 1, Hello from process 9
10/11/2024 02:04:27 PM, Core: 1, Hello from process 9
10/11/2024 02:04:27 PM, Core: 1, Hello from process 9
10/11/2024 02:04:27 PM, Core: 1, Hello from process 9
10/11/2024 02:04:27 PM, Core: 1, Hello from process 9
10/11/2024 02:04:27 PM, Core: 1, Hello from process 9
10/11/2024 02:04:27 PM, Core: 1, Hello from process 9
10/11/2024 02:04:27 PM, Core: 1, Hello from process 9
10/11/2024 02:04:27 PM, Core: 1, Hello from process 9
10/11/2024 02:04:28 PM, Core: 1, Hello from process 9
10/11/2024 02:04:28 PM, Core: 1, Hello from process 9
10/11/2024 02:04:28 PM, Core: 1, Hello from process 9
10/11/2024 02:04:28 PM, Core: 1, Hello from process 9
10/11/2024 02:04:28 PM, Core: 1, Hello from process 9
10/11/2024 02:04:28 PM, Core: 1, Hello from process 9
10/11/2024 02:04:28 PM, Core: 1, Hello from process 9
10/11/2024 02:04:28 PM, Core: 1, Hello from process 9
10/11/2024 02:04:28 PM, Core: 1, Hello from process 9
10/11/2024 02:04:29 PM, Core: 1, Hello from process 9
10/11/2024 02:04:29 PM, Core: 1, Hello from process 9
10/11/2024 02:04:29 PM, Core: 1, Hello from process 9
10/11/2024 02:04:29 PM, Core: 1, Hello from process 9
10/11/2024 02:04:29 PM, Core: 1, Hello from process 9
10/11/2024 02:04:29 PM, Core: 1, Hello from process 9
10/11/2024 02:04:29 PM, Core: 1, Hello from process 9
10/11/2024 02:04:29 PM, Core: 1, Hello from process 9
10/11/2024 02:04:29 PM, Core: 1, Hello from process 9
10/11/2024 02:04:29 PM, Core: 1, Hello from process 9
10/11/2024 02:04:30 PM, Core: 1, Hello from process 9
10/11/2024 02:04:30 PM, Core: 1, Hello from process 9
10/11/2024 02:04:30 PM, Core: 1, Hello from process 9
10/11/2024 02:04:30 PM, Core: 1, Hello from process 9
10/11/2024 02:04:30 PM, Core: 1, Hello from process 9
10/11/2024 02:04:30 PM, Core: 1, Hello from process 9
10/11/2024 02:04:30 PM, Core: 1, Hello from process 9
10/11/2024 02:04:30 PM, Core: 1, Hello from process 9
10/11/2024 02:04:30 PM, Core: 1, Hello from process 9
10/11/2024 02:04:31 PM, Core: 1, Hello from process 9
10/11/2024 02:04:31 PM, Core: 1, Hello from process 9
10/11/2024 02:04:31 PM, Core: 1, Hello from process 9
10/11/2024 02:04:31 PM, Core: 1, Hello from process 9
10/11/2024 02:04:31 PM, Core: 1, Hello from process 9
10/11/2024 02:04:31 PM, Core: 1, Hello from process 9
10/11/2024 02:04:31 PM, Core: 1, Hello from process 9
10/11/2024 02:04:31 PM, Core: 1, Hello from process 9
10/11/2024 02:04:31 PM, Core: 1, Hello from process 9
10/11/2024 02:04:32 PM, Core: 1, Hello from process 9
10/11/2024 02:04:32 PM, Core: 1, Hello from process 9
10/11/2024 02:04:32 PM, Core: 1, Hello from process 9
10/11/2024 02:04:32 PM, Core: 1, Hello from process 9
10/11/2024 02:04:32 PM, Core: 1, Hello from process 9
